id,okus
107232,spice
107232,ginger
107232,oak
107232,vanilla
107232,black
107232,cherry
107232,plum
107232,smoke
107232,toast
107232,tar
107232,tobacco
107232,raspberry
107232,cassis
107232,violet
107232,pepper
107232,green
107232,bean
112911,currant
112911,blackberry
112911,cherry
112911,bell
112911,pepper
112911,olive
112911,asparagus
112911,spice
112911,ginger
112911,oak
112911,vanilla
118566,ripe
118566,cherry
118566,plum
118566,strawberry
118566,raspberry
118566,mushroom
114280,apple
114280,pear
114280,peach
114280,apricot
114280,lemon
114280,lime
114280,orange
114280,pineapple
114280,kiwi
114280,butter
114280,cream
114280,vanilla
116777,currant
116777,blackberry
116777,cherry
116777,bell
116777,pepper
116777,olive
116777,asparagus
116777,spice
116777,ginger
116777,oak
116777,vanilla
116777,tobacco
116777,raspberry
116777,cassis
116777,violet
116777,pepper
116777,green
116777,bean
116777,black
116777,cherry
116777,plum
116777,smoke
116777,toast
116777,tar
117033,lemon
117033,apple
117033,pear
116402,red
116402,fruit
116402,strawberry
116402,raspberry
118943,apple
118943,pear
118943,peach
118943,apricot
118943,honey
117837,plum
117837,berry
117837,white
117837,pepper
119817,ripe
119817,cherry
119817,plum
119817,strawberry
119817,raspberry
119817,mushroom
119012,red
119012,fruit
119012,strawberry
119012,raspberry
119012,tannin
119012,tobacco
119012,dark
119012,fruit
119012,dark
119012,ripe
119012,cherry
119012,dark
119012,berry
119012,blueberry
119012,spice
118276,smoke
118276,banana
118276,tropical
118276,acetone
118276,earth
118276,raspberry
104522,pineapple
104522,coriander
104522,peach
104522,orange
104522,grapey
117918,apple
117918,pear
117918,peach
117918,apricot
117918,lemon
117918,lime
117918,orange
117918,pineapple
117918,kiwi
117918,butter
117918,cream
117918,vanilla
117110,currant
117110,blackberry
117110,cherry
117110,bell
117110,pepper
117110,olive
117110,asparagus
117110,spice
117110,ginger
117110,oak
117110,vanilla
117110,blueberry
117110,strawberry
117110,red
117110,cherry
117110,raspberry
117110,licorice
117110,tobacco
117110,sweet
117110,spice
117110,mineral
114069,ripe
114069,cherry
114069,plum
114069,strawberry
114069,raspberry
114069,mushroom
117616,red
117616,fruit
117616,strawberry
117616,raspberry
118774,ripe
118774,cherry
118774,plum
118774,strawberry
118774,raspberry
118774,mushroom
114637,currant
114637,blackberry
